epoch,acc,loss,val_acc,val_loss
0,0.05989096451822235,0.3292361646194291,0.05952640842047382,0.09995708473175308
1,0.06017103114145528,0.09932147659561108,0.059239187944229936,0.10038117749010858
2,0.06006705381809316,0.09940406295407642,0.05896884765576539,0.10019717147813802
3,0.06015487631279702,0.09936068366292727,0.05945221684805226,0.09952925467875107
4,0.06006420235523483,0.09927898241820816,0.0592820453981118,0.10011586674026277
5,0.05988655920579841,0.09946796434893207,0.05936208129372605,0.10048171998704412
6,0.059919225932129366,0.09958740364771278,0.05910183939009589,0.1008038857860342
7,0.06010757632065559,0.09944299968644546,0.059642925665783435,0.09986029546193641
8,0.059942830884212546,0.09940336833429811,0.05900076027203557,0.10014889879220742
9,0.05988653868434869,0.09961863375978845,0.05885853215270735,0.1002078385469418
10,0.06000060650780048,0.09958842075022967,0.05979640161327825,0.099875708737702
11,0.05995365246357767,0.09962312027314114,0.05967743213461759,0.10014022440232474
12,0.059998102909440035,0.09933430505275921,0.05887264295357388,0.10069103091898049
13,0.06015969132985192,0.09917114193803457,0.05929632510107375,0.10004025197479348
14,0.059942804252551794,0.09944234615627404,0.05936242709604956,0.10015459399830344
15,0.05983618318742558,0.0991864132972117,0.05965902820873642,0.10063017959895035
16,0.06014852180449853,0.09937478796092651,0.05895036955852654,0.10027193520046725
17,0.05965642649464458,0.09961673676393655,0.059254113907482746,0.10033083679954424
18,0.05996792966731859,0.09928561245813394,0.05950603990165285,0.10038217846475588
19,0.06018186646223117,0.099410794538109,0.0593271093488824,0.10050724231655155
