epoch,acc,loss,val_acc,val_loss
0,0.059533584003007164,0.05731555239505997,0.0592482241781213,0.05411181671464919
0,0.059593063839655375,0.05668086645499078,0.05937400255279684,0.05430509977648321
1,0.06005879563089232,0.05292966557037087,0.05905579259749366,0.05319367176881688
2,0.05995352669782094,0.05200391534164828,0.059201319202921196,0.05222755271592892
0,0.05955148537803904,0.05169356304029449,0.05878022424318024,0.05134262877339326
1,0.05961437016096637,0.05163227953773504,0.059126423020956054,0.05158896626550361
2,0.05965254772760392,0.05132055078030177,0.05900460093804256,0.051891078374011475
3,0.059697930462265764,0.05130808346509331,0.0587072300407407,0.05126093274290942
4,0.059964058018501167,0.05115398131925712,0.059168908581563526,0.05173641111433186
5,0.05946855401080121,0.051317404501086634,0.058873461879735724,0.051649950126163156
6,0.05948799020598056,0.051130477993670695,0.059312875035832775,0.05112061216324522
7,0.05974234544622536,0.05110947972925684,0.059135639876868366,0.0510065545445091
8,0.059608792078978,0.05109889041608082,0.059800339813385464,0.05102992632306335
9,0.059510235177828344,0.05078301584405609,0.05912520984660334,0.050860422617681554
10,0.05965381397361802,0.05086156657209313,0.059154646947667255,0.05084913977467529
11,0.059958381431061525,0.05094013711172677,0.05862742436141015,0.0511983426793427
12,0.0595622626680237,0.050807279188264644,0.05938360035243742,0.0507425106590488
13,0.05930162351542115,0.050870488325238813,0.05881339142014331,0.05069025155682505
14,0.05939478992006559,0.050796985575235196,0.058844966197761764,0.05076272853370185
15,0.059426663489497586,0.05078502626696357,0.05890689453411684,0.05077586099905379
16,0.05952539430789895,0.050702607700232515,0.05921714990000911,0.05077067267669628
17,0.05967014319314644,0.05072837549376009,0.05885356021267859,0.050882353315964066
18,0.059758494159433614,0.05071288402042519,0.058720794770329716,0.050165830837117016
19,0.05944094870560748,0.050602102378401737,0.05902157080175085,0.05067352652178357
